text_generator;text_length;wildcards;pattern_length;searcher;test_result_duration_nano;test_result_char_comparisons
Binary;10000;false;900;KMP (Standard Borders);59893;20282
Binary;10000;false;900;KMP (Precise Borders);62433;20002
Binary;10000;false;1000;Naive;69228;20987
Binary;10000;false;1000;KMP (Standard Borders);60338;20574
Binary;10000;false;1000;KMP (Precise Borders);64050;20360
Binary;10000;false;1100;Naive;69350;21081
Binary;10000;false;1100;KMP (Standard Borders);60225;20607
Binary;10000;false;1100;KMP (Precise Borders);64498;20416
Binary;10000;false;1200;Naive;69631;21210
Binary;10000;false;1200;KMP (Standard Borders);60387;20847
Binary;10000;false;1200;KMP (Precise Borders);64823;20695
Binary;10000;false;1300;Naive;69852;21312
Binary;10000;false;1300;KMP (Standard Borders);60963;21064
Binary;10000;false;1300;KMP (Precise Borders);66163;21111
Binary;10000;false;1400;Naive;69850;21401
Binary;10000;false;1400;KMP (Standard Borders);61465;21319
Binary;10000;false;1400;KMP (Precise Borders);67452;21538
Binary;10000;false;1500;Naive;69683;21494
Binary;10000;false;1500;KMP (Standard Borders);61455;21478
Binary;10000;false;1500;KMP (Precise Borders);68181;21572
Binary;10000;false;1600;Naive;69871;21637
Binary;10000;false;1600;KMP (Standard Borders);61501;21483
Binary;10000;false;1600;KMP (Precise Borders);68158;21689
Binary;10000;false;1700;Naive;70103;21724
Binary;10000;false;1700;KMP (Standard Borders);62232;21891
Binary;10000;false;1700;KMP (Precise Borders);70169;22190
Binary;10000;false;1800;Naive;70245;21784
Binary;10000;false;1800;KMP (Standard Borders);62528;22069
Binary;10000;false;1800;KMP (Precise Borders);71393;22575
Binary;10000;false;1900;Naive;70199;21910
Binary;10000;false;1900;KMP (Standard Borders);62729;22179
Binary;10000;false;1900;KMP (Precise Borders);72081;22724
Binary;10000;false;2000;Naive;70851;21995
Binary;10000;false;2000;KMP (Standard Borders);63416;22483
Binary;10000;false;2000;KMP (Precise Borders);72877;23358
Binary;10000;false;2100;Naive;70731;22089
Binary;10000;false;2100;KMP (Standard Borders);63339;22618
Binary;10000;false;2100;KMP (Precise Borders);73592;23354
Binary;10000;false;2200;Naive;71363;22199
Binary;10000;false;2200;KMP (Standard Borders);63855;22823
Binary;10000;false;2200;KMP (Precise Borders);74636;23676
Binary;10000;false;2300;Naive;71735;22300
Binary;10000;false;2300;KMP (Standard Borders);64626;23179
Binary;10000;false;2300;KMP (Precise Borders);76462;24287
Binary;10000;false;2400;Naive;71834;22392
Binary;10000;false;2400;KMP (Standard Borders);64609;23308
Binary;10000;false;2400;KMP (Precise Borders);77165;24435
Binary;10000;false;2500;Naive;71589;22495
Binary;10000;false;2500;KMP (Standard Borders);65222;23491
Binary;10000;false;2500;KMP (Precise Borders);78793;24769
Binary;10000;false;2600;Naive;71637;22576
Binary;10000;false;2600;KMP (Standard Borders);65811;23833
Binary;10000;false;2600;KMP (Precise Borders);79336;25391
Binary;10000;false;2700;Naive;71589;22708
Binary;10000;false;2700;KMP (Standard Borders);65310;23790
Binary;10000;false;2700;KMP (Precise Borders);79846;25094
Binary;10000;false;2800;Naive;71709;22809
Binary;10000;false;2800;KMP (Standard Borders);65672;24000
Binary;10000;false;2800;KMP (Precise Borders);81075;25441
Binary;10000;false;2900;Naive;71842;22897
Binary;10000;false;2900;KMP (Standard Borders);66206;24209
Binary;10000;false;2900;KMP (Precise Borders);82133;25734
Binary;10000;false;3000;Naive;71900;23002
Binary;10000;false;3000;KMP (Standard Borders);66404;24333
Binary;10000;false;3000;KMP (Precise Borders);82781;25973
Binary;10000;true;100;Naive;74145;20347
Binary;10000;true;100;KMP (Standard Borders);221778;63059
Binary;10000;true;100;KMP (Precise Borders);213537;58943
Binary;10000;true;200;Naive;74420;20457
Binary;10000;true;200;KMP (Standard Borders);227411;64888
Binary;10000;true;200;KMP (Precise Borders);219280;60717
Binary;10000;true;300;Naive;74798;20177
Binary;10000;true;300;KMP (Standard Borders);233408;67099
Binary;10000;true;300;KMP (Precise Borders);225659;62898
Binary;10000;true;400;Naive;74123;20234
Binary;10000;true;400;KMP (Standard Borders);228692;65800
Binary;10000;true;400;KMP (Precise Borders);222291;61865
Binary;10000;true;500;Naive;73986;20316
Binary;10000;true;500;KMP (Standard Borders);224800;64751
Binary;10000;true;500;KMP (Precise Borders);218089;60715
Binary;10000;true;600;Naive;73492;20182
Binary;10000;true;600;KMP (Standard Borders);220000;63843
Binary;10000;true;600;KMP (Precise Borders);214401;60219
Binary;10000;true;700;Naive;73864;20271
Binary;10000;true;700;KMP (Standard Borders);229080;66384
Binary;10000;true;700;KMP (Precise Borders);223839;62607
Binary;10000;true;800;Naive;73654;20217
Binary;10000;true;800;KMP (Standard Borders);232389;67520
Binary;10000;true;800;KMP (Precise Borders);226869;63483
Binary;10000;true;900;Naive;73865;20354
Binary;10000;true;900;KMP (Standard Borders);229902;66994
Binary;10000;true;900;KMP (Precise Borders);225708;63479
Binary;10000;true;1000;Naive;73849;20322
Binary;10000;true;1000;KMP (Standard Borders);230020;67082
Binary;10000;true;1000;KMP (Precise Borders);227092;63862
Binary;10000;true;1100;Naive;73901;20374
Binary;10000;true;1100;KMP (Standard Borders);222566;65177
Binary;10000;true;1100;KMP (Precise Borders);220121;61980
Binary;10000;true;1200;Naive;74311;20378
Binary;10000;true;1200;KMP (Standard Borders);232301;68513
Binary;10000;true;1200;KMP (Precise Borders);230892;65690
Binary;10000;true;1300;Naive;74305;20540
Binary;10000;true;1300;KMP (Standard Borders);218265;64513
Binary;10000;true;1300;KMP (Precise Borders);217086;61535
Binary;10000;true;1400;Naive;74315;20462
Binary;10000;true;1400;KMP (Standard Borders);232549;68553
Binary;10000;true;1400;KMP (Precise Borders);230871;65291
Binary;10000;true;1500;Naive;74530;20539
Binary;10000;true;1500;KMP (Standard Borders);235933;69772
Binary;10000;true;1500;KMP (Precise Borders);235844;66680
Binary;10000;true;1600;Naive;74457;20664
Binary;10000;true;1600;KMP (Standard Borders);227151;67560
Binary;10000;true;1600;KMP (Precise Borders);226875;64849
Binary;10000;true;1700;Naive;74067;20466
Binary;10000;true;1700;KMP (Standard Borders);232751;69081
Binary;10000;true;1700;KMP (Precise Borders);233096;66082
Binary;10000;true;1800;Naive;74216;20483
Binary;10000;true;1800;KMP (Standard Borders);246766;73415
Binary;10000;true;1800;KMP (Precise Borders);247075;70458
Binary;10000;true;1900;Naive;74387;20517
Binary;10000;true;1900;KMP (Standard Borders);241401;72018
Binary;10000;true;1900;KMP (Precise Borders);243025;69295
Binary;10000;true;2000;Naive;74734;20792
Binary;10000;true;2000;KMP (Standard Borders);234316;70174
Binary;10000;true;2000;KMP (Precise Borders);236988;67596
Binary;10000;true;2100;Naive;74488;20644
Binary;10000;true;2100;KMP (Standard Borders);228859;68793
Binary;10000;true;2100;KMP (Precise Borders);231932;66574
Binary;10000;true;2200;Naive;74789;20644
